,id_nuts,area,lat,lon
301,DE147,0.106,47.70269,9.36039
302,DE148,0.213,47.8135,9.80719
303,DE149,0.17,48.02821,9.2473
304,DE211,0.006,48.74127,11.39278
305,DE212,0.004,48.19279,11.4384
306,DE213,0.002,47.84796,12.11468
307,DE214,0.049,48.2182,12.71896
308,DE215,0.064,47.72178,12.87255
309,DE216,0.11,47.7448,11.48703
310,DE217,0.072,48.32645,11.36697
311,DE218,0.058,48.07675,11.93037
312,DE219,0.157,48.89516,11.34345
313,DE21A,0.082,48.28274,11.9926
314,DE21B,0.113,48.44585,11.74784
315,DE21C,0.044,48.17478,11.22446
316,DE21D,0.11,47.53473,11.16432
317,DE21E,0.099,48.03728,10.95052
318,DE21F,0.099,47.74279,11.78915
319,DE21G,0.107,48.24527,12.37073
320,DE21H,0.124,48.09323,11.62015
321,DE21I,0.089,48.66462,11.20357
322,DE21J,0.087,48.60725,11.52188
323,DE21K,0.18,47.87942,12.14895
324,DE21L,0.058,47.99228,11.28422
325,DE21M,0.204,47.90355,12.58091
326,DE21N,0.141,47.77431,11.04051
327,DE221,0.005,48.54044,12.16274
328,DE222,0.005,48.58059,13.4182
329,DE223,0.004,48.89012,12.56785
330,DE224,0.102,48.78316,13.00683
331,DE225,0.112,48.83047,13.50031
332,DE226,0.14,48.81254,11.85859
333,DE227,0.163,48.54729,12.21258
334,DE228,0.188,48.56505,13.35294
335,DE229,0.118,49.02512,13.09575
336,DE22A,0.164,48.41226,12.85163
337,DE22B,0.157,48.89868,12.5568
338,DE22C,0.108,48.65582,12.63975
339,DE231,0.003,49.44038,11.84322
340,DE232,0.006,49.01867,12.11603
341,DE233,0.004,49.67984,12.1574
342,DE234,0.176,49.49888,11.80349
343,DE235,0.181,49.23087,12.68545
344,DE236,0.177,49.20497,11.57491
345,DE237,0.162,49.6869,12.1298
346,DE238,0.16,49.02495,12.10786
347,DE239,0.184,49.36657,12.26772
348,DE23A,0.13,49.90497,12.20319
349,DE241,0.003,49.89044,10.91023
350,DE242,0.005,49.93407,11.59618
351,DE243,0.003,50.27043,10.96977
352,DE244,0.003,50.29812,11.8925
353,DE245,0.175,49.89894,10.86297
354,DE246,0.199,49.90399,11.55503
355,DE247,0.083,50.24497,10.95105
356,DE248,0.057,49.7399,11.18259
357,DE249,0.131,50.2703,11.82815
358,DE24A,0.086,50.32114,11.37383
359,DE24B,0.05,50.13274,11.46618
360,DE24C,0.051,50.10091,11.15418
361,DE24D,0.063,50.09282,12.03364
362,DE251,0.007,49.29429,10.5491
363,DE252,0.01,49.58104,10.98115
364,DE253,0.003,49.5026,10.9708
365,DE254,0.028,49.43852,11.07379
366,DE255,0.003,49.33641,11.03061
367,DE256,0.263,49.24717,10.48049
368,DE257,0.09,49.63455,10.96802
369,DE258,0.036,49.4479,10.86454
370,DE259,0.099,49.50393,11.38118
371,DE25A,0.158,49.57628,10.45727
372,DE25B,0.115,49.21679,11.10648
373,DE25C,0.095,49.03149,10.91021
374,DE261,0.005,49.9578,9.14171
375,DE262,0.003,50.06022,10.2206
376,DE263,0.007,49.77998,9.95602
377,DE264,0.06,49.99947,9.22694
378,DE265,0.146,50.24096,9.96683
379,DE266,0.096,50.35693,10.28032
380,DE267,0.111,50.07552,10.57846
381,DE268,0.059,49.76209,10.29322
382,DE269,0.09,49.78279,9.24373
383,DE26A,0.179,49.99121,9.66869
384,DE26B,0.107,50.01685,10.24724
385,DE26C,0.139,49.73251,9.952
386,DE271,0.014,48.33924,10.85301
387,DE272,0.004,47.88066,10.61746
388,DE273,0.004,47.72688,10.2985
389,DE274,0.004,47.99777,10.15392
390,DE275,0.112,48.41561,11.05562
391,DE276,0.134,48.36292,10.72354
392,DE277,0.059,48.5797,10.52059
393,DE278,0.103,48.35466,10.37016
394,DE279,0.054,48.29672,10.12544
395,DE27A,0.03,47.5839,9.8334
396,DE27B,0.176,47.78738,10.633
397,DE27C,0.141,48.04211,10.36286
398,DE27D,0.182,48.79907,10.70891
399,DE27E,0.173,47.58663,10.23642
400,DE300,0.11,52.49484,13.40305
401,DE401,0.033,52.42163,12.54542
